red,blue,g1,g2,brn,p,pexp,y,pnk,o
82,123,78,78,97,106,106,61,8,111
90,137,120,120,94,36,36,122,43,127
117,54,133,133,66,119,119,83,99,95
108,77,24,24,134,65,65,,128,155
73,91,35,35,157,59,59,,37,2
146,115,101,101,57,60,60,,93,22
30,86,45,45,114,109,109,,33,75
19,16,129,129,87,141,141,,158,136
160,28,52,52,18,83,83,,55,80
140,107,92,92,124,,159,,1,104
17,34,31,31,142,,27,,125,131
26,154,58,58,27,,153,,21,151
68,56,21,21,153,,62,,116,49
118,63,116,116,62,,67,,51,145
46,41,51,51,67,,20,,151,149
40,71,49,49,20,,138,,131,14
72,47,145,145,138,,42,,104,
100,148,150,150,42,,110,,80,
113,112,15,15,110,,151,,14,
89,88,136,136,48,,131,,149,
81,102,39,39,144,,104,,145,
135,50,3,3,150,,80,,49,
38,147,85,85,15,,14,,,
143,132,4,4,79,,149,,,
5,84,6,6,103,,145,,,
70,156,7,7,130,,49,,,
9,96,69,69,152,,,,,
10,126,74,98,,,,,,
11,44,21,53,,,,,,
12,25,,,,,,,,
13,121,,,,,,,,
,76,,,,,,,,
,64,,,,,,,,
